name,registeredUsers,appOpens,year,quarter,state
panch mahals district,53825,0,2018,3,gujarat
narmada district,11957,0,2018,3,gujarat
gir somnath district,47541,0,2018,3,gujarat
valsad district,136470,0,2018,3,gujarat
mahisagar district,19564,0,2018,3,gujarat
sabar kantha district,74642,0,2018,3,gujarat
tapi district,25095,0,2018,3,gujarat
vadodara district,335125,0,2018,3,gujarat
banas kantha district,159591,0,2018,3,gujarat
amreli district,53845,0,2018,3,gujarat
ahmadabad district,919252,0,2018,3,gujarat
dohad district,28857,0,2018,3,gujarat
navsari district,60676,0,2018,3,gujarat
patan district,68979,0,2018,3,gujarat
kachchh district,158762,0,2018,3,gujarat
surendranagar district,65325,0,2018,3,gujarat
morbi district,52062,0,2018,3,gujarat
anand district,146258,0,2018,4,gujarat
jamnagar district,103876,0,2018,4,gujarat
devbhumi dwarka district,32660,0,2018,4,gujarat
rajkot district,260602,0,2018,4,gujarat
aravallis district,46665,0,2018,4,gujarat
chhotaudepur district,16321,0,2018,4,gujarat
botad district,49066,0,2018,4,gujarat
bharuch district,211843,0,2018,4,gujarat
bhavnagar district,173699,0,2018,4,gujarat
junagadh district,70174,0,2018,4,gujarat
mahesana district,192493,0,2018,4,gujarat
the dangs district,5165,0,2018,4,gujarat
kheda district,103292,0,2018,4,gujarat
surat district,998807,0,2018,4,gujarat
porbandar district,24373,0,2018,4,gujarat
gandhinagar district,242368,0,2018,4,gujarat
panch mahals district,68139,0,2018,4,gujarat
narmada district,15550,0,2018,4,gujarat
gir somnath district,58991,0,2018,4,gujarat
valsad district,172711,0,2018,4,gujarat
mahisagar district,25483,0,2018,4,gujarat
sabar kantha district,91898,0,2018,4,gujarat
tapi district,31929,0,2018,4,gujarat
vadodara district,421895,0,2018,4,gujarat
banas kantha district,197774,0,2018,4,gujarat
amreli district,67020,0,2018,4,gujarat
ahmadabad district,1212636,0,2018,4,gujarat
dohad district,36773,0,2018,4,gujarat
navsari district,75930,0,2018,4,gujarat
patan district,84408,0,2018,4,gujarat
kachchh district,195295,0,2018,4,gujarat
surendranagar district,80167,0,2018,4,gujarat
morbi district,64779,0,2018,4,gujarat
anand district,175515,0,2019,1,gujarat
jamnagar district,121494,0,2019,1,gujarat
devbhumi dwarka district,38898,0,2019,1,gujarat
rajkot district,304415,0,2019,1,gujarat
aravallis district,56005,0,2019,1,gujarat
chhotaudepur district,20287,0,2019,1,gujarat
botad district,58126,0,2019,1,gujarat
bharuch district,252826,0,2019,1,gujarat
bhavnagar district,203617,0,2019,1,gujarat
junagadh district,82263,0,2019,1,gujarat
mahesana district,230403,0,2019,1,gujarat
the dangs district,6307,0,2019,1,gujarat
kheda district,124598,0,2019,1,gujarat
surat district,1180819,0,2019,1,gujarat
porbandar district,28860,0,2019,1,gujarat
gandhinagar district,291858,0,2019,1,gujarat
panch mahals district,81863,0,2019,1,gujarat
narmada district,19105,0,2019,1,gujarat
gir somnath district,69872,0,2019,1,gujarat
valsad district,209477,0,2019,1,gujarat
mahisagar district,31147,0,2019,1,gujarat
sabar kantha district,109651,0,2019,1,gujarat
tapi district,39195,0,2019,1,gujarat
vadodara district,502520,0,2019,1,gujarat
banas kantha district,239613,0,2019,1,gujarat
amreli district,79690,0,2019,1,gujarat
ahmadabad district,1450100,0,2019,1,gujarat
dohad district,45141,0,2019,1,gujarat
navsari district,91812,0,2019,1,gujarat
patan district,101323,0,2019,1,gujarat
kachchh district,231871,0,2019,1,gujarat
surendranagar district,95904,0,2019,1,gujarat
morbi district,77961,0,2019,1,gujarat
anand district,200007,829604,2019,2,gujarat
jamnagar district,138108,548729,2019,2,gujarat
devbhumi dwarka district,44975,154760,2019,2,gujarat
rajkot district,345178,1070493,2019,2,gujarat
aravallis district,64792,271675,2019,2,gujarat
chhotaudepur district,23917,92854,2019,2,gujarat
botad district,65918,257831,2019,2,gujarat
bharuch district,284296,1318343,2019,2,gujarat
bhavnagar district,230394,860365,2019,2,gujarat
junagadh district,94221,271227,2019,2,gujarat
mahesana district,259949,1242721,2019,2,gujarat
the dangs district,7532,37591,2019,2,gujarat
kheda district,144091,600534,2019,2,gujarat
surat district,1338584,5960403,2019,2,gujarat
porbandar district,33374,100742,2019,2,gujarat
gandhinagar district,333056,1907551,2019,2,gujarat
panch mahals district,92621,385797,2019,2,gujarat
narmada district,22503,101020,2019,2,gujarat
gir somnath district,79786,253664,2019,2,gujarat
valsad district,238764,1111437,2019,2,gujarat
mahisagar district,36155,138423,2019,2,gujarat
sabar kantha district,123754,534999,2019,2,gujarat
tapi district,45441,189646,2019,2,gujarat
vadodara district,572031,2539174,2019,2,gujarat
banas kantha district,271379,1204053,2019,2,gujarat
amreli district,91819,339203,2019,2,gujarat
ahmadabad district,1656341,9405838,2019,2,gujarat
dohad district,52197,204285,2019,2,gujarat
navsari district,106244,417352,2019,2,gujarat
patan district,115299,552351,2019,2,gujarat
kachchh district,261458,1230320,2019,2,gujarat
surendranagar district,110431,409241,2019,2,gujarat
morbi district,90030,348075,2019,2,gujarat
anand district,226293,3576103,2019,3,gujarat
jamnagar district,154042,1899038,2019,3,gujarat
devbhumi dwarka district,49534,509421,2019,3,gujarat
rajkot district,384852,3993364,2019,3,gujarat
aravallis district,73003,1020958,2019,3,gujarat
chhotaudepur district,27128,329896,2019,3,gujarat
botad district,72181,991985,2019,3,gujarat
bharuch district,315856,4792841,2019,3,gujarat
bhavnagar district,255608,3293381,2019,3,gujarat
junagadh district,104847,969001,2019,3,gujarat
mahesana district,286652,4457337,2019,3,gujarat
the dangs district,8306,116253,2019,3,gujarat
kheda district,162956,2432770,2019,3,gujarat
surat district,1481391,21408636,2019,3,gujarat
porbandar district,36834,330737,2019,3,gujarat
gandhinagar district,372464,7433206,2019,3,gujarat
panch mahals district,102546,1338850,2019,3,gujarat
narmada district,25267,363436,2019,3,gujarat
gir somnath district,88366,860095,2019,3,gujarat
valsad district,266134,3902867,2019,3,gujarat
mahisagar district,40679,466958,2019,3,gujarat
sabar kantha district,138237,2021301,2019,3,gujarat
tapi district,51028,646547,2019,3,gujarat
vadodara district,637678,9548665,2019,3,gujarat
banas kantha district,301373,4487309,2019,3,gujarat
amreli district,101453,1176949,2019,3,gujarat
ahmadabad district,1848860,35854721,2019,3,gujarat
dohad district,59460,737968,2019,3,gujarat
navsari district,118324,1417853,2019,3,gujarat
patan district,128573,2225161,2019,3,gujarat
kachchh district,285519,4167209,2019,3,gujarat
surendranagar district,122518,1455000,2019,3,gujarat
morbi district,101337,1215668,2019,3,gujarat
anand district,252401,3905511,2019,4,gujarat
jamnagar district,171337,2227178,2019,4,gujarat
devbhumi dwarka district,55209,621177,2019,4,gujarat
rajkot district,426178,4545689,2019,4,gujarat
aravallis district,83136,1295090,2019,4,gujarat
chhotaudepur district,31338,429297,2019,4,gujarat
botad district,80499,1181335,2019,4,gujarat
bharuch district,350619,5971371,2019,4,gujarat
bhavnagar district,286520,4080547,2019,4,gujarat
junagadh district,117357,1216157,2019,4,gujarat
mahesana district,316985,5363608,2019,4,gujarat
the dangs district,9594,151581,2019,4,gujarat
kheda district,182669,2664051,2019,4,gujarat
surat district,1624077,23613804,2019,4,gujarat
porbandar district,40962,385502,2019,4,gujarat
gandhinagar district,408526,8201437,2019,4,gujarat
panch mahals district,115707,1726942,2019,4,gujarat
narmada district,28910,492480,2019,4,gujarat
gir somnath district,98982,1160727,2019,4,gujarat
valsad district,296977,4849239,2019,4,gujarat
mahisagar district,47237,629528,2019,4,gujarat
sabar kantha district,155618,2589322,2019,4,gujarat
tapi district,58115,863661,2019,4,gujarat
vadodara district,700817,11292180,2019,4,gujarat
banas kantha district,339582,5546860,2019,4,gujarat
amreli district,114242,1576597,2019,4,gujarat
ahmadabad district,2015947,37991904,2019,4,gujarat
dohad district,69618,957179,2019,4,gujarat
navsari district,131460,1723534,2019,4,gujarat
patan district,144779,2497573,2019,4,gujarat
kachchh district,314732,4871076,2019,4,gujarat
surendranagar district,138218,1846653,2019,4,gujarat
morbi district,115451,1504967,2019,4,gujarat
anand district,277835,4127652,2020,1,gujarat
jamnagar district,188224,2298804,2020,1,gujarat
devbhumi dwarka district,61293,730723,2020,1,gujarat
rajkot district,469636,5039899,2020,1,gujarat
aravallis district,94716,1602742,2020,1,gujarat
chhotaudepur district,36116,529547,2020,1,gujarat
botad district,88241,1198952,2020,1,gujarat
bharuch district,384819,6765391,2020,1,gujarat
bhavnagar district,315412,4262838,2020,1,gujarat
junagadh district,130231,1358193,2020,1,gujarat
mahesana district,349897,6028256,2020,1,gujarat
the dangs district,10877,181854,2020,1,gujarat
kheda district,204548,3047323,2020,1,gujarat
surat district,1772703,27362139,2020,1,gujarat
porbandar district,45383,444447,2020,1,gujarat
gandhinagar district,445290,8879457,2020,1,gujarat
panch mahals district,129831,1963840,2020,1,gujarat
narmada district,33074,595463,2020,1,gujarat
gir somnath district,110211,1337958,2020,1,gujarat
valsad district,330053,5604622,2020,1,gujarat
mahisagar district,54880,782289,2020,1,gujarat
sabar kantha district,174426,3030789,2020,1,gujarat
tapi district,65634,1036092,2020,1,gujarat
vadodara district,763969,12483845,2020,1,gujarat
banas kantha district,386212,7051669,2020,1,gujarat
amreli district,126423,1611436,2020,1,gujarat
ahmadabad district,2185983,40521157,2020,1,gujarat
dohad district,81529,1236284,2020,1,gujarat
navsari district,146018,1993140,2020,1,gujarat
patan district,164027,2890050,2020,1,gujarat
kachchh district,347270,5714637,2020,1,gujarat
surendranagar district,154610,2101503,2020,1,gujarat
morbi district,130472,1792131,2020,1,gujarat
anand district,307408,3806180,2020,2,gujarat
jamnagar district,208647,2264637,2020,2,gujarat
devbhumi dwarka district,69591,833260,2020,2,gujarat
rajkot district,522650,4850731,2020,2,gujarat
aravallis district,109491,2026596,2020,2,gujarat
chhotaudepur district,43696,767414,2020,2,gujarat
botad district,100129,1724159,2020,2,gujarat
bharuch district,423017,6655417,2020,2,gujarat
bhavnagar district,354301,5050744,2020,2,gujarat
junagadh district,147012,1678274,2020,2,gujarat
mahesana district,389562,6476731,2020,2,gujarat
the dangs district,12754,242151,2020,2,gujarat
kheda district,232123,3424229,2020,2,gujarat
surat district,1935894,21659619,2020,2,gujarat
porbandar district,50733,518063,2020,2,gujarat
gandhinagar district,488351,7343038,2020,2,gujarat
panch mahals district,148675,2136842,2020,2,gujarat
narmada district,39531,762775,2020,2,gujarat
gir somnath district,125777,1902233,2020,2,gujarat
valsad district,372771,5991227,2020,2,gujarat
mahisagar district,64428,1138847,2020,2,gujarat
sabar kantha district,196035,3368537,2020,2,gujarat
tapi district,76018,1298227,2020,2,gujarat
vadodara district,830759,10076172,2020,2,gujarat
banas kantha district,446603,8305317,2020,2,gujarat
amreli district,145486,2447389,2020,2,gujarat
ahmadabad district,2384154,31306891,2020,2,gujarat
dohad district,102250,1808011,2020,2,gujarat
navsari district,166398,2282454,2020,2,gujarat
patan district,185703,3289294,2020,2,gujarat
kachchh district,385480,5599740,2020,2,gujarat
surendranagar district,176758,2588128,2020,2,gujarat
morbi district,150472,1641032,2020,2,gujarat
anand district,336799,4331672,2020,3,gujarat
jamnagar district,227798,2485735,2020,3,gujarat
devbhumi dwarka district,76991,860629,2020,3,gujarat
rajkot district,573062,5528685,2020,3,gujarat
aravallis district,122687,2133497,2020,3,gujarat
chhotaudepur district,49929,741433,2020,3,gujarat
botad district,109438,1607234,2020,3,gujarat
bharuch district,462292,8024617,2020,3,gujarat
bhavnagar district,387781,5290196,2020,3,gujarat
junagadh district,163177,1718468,2020,3,gujarat
mahesana district,427950,7432916,2020,3,gujarat
the dangs district,14501,254123,2020,3,gujarat
kheda district,256968,3629599,2020,3,gujarat
surat district,2092712,23450291,2020,3,gujarat
porbandar district,56130,556557,2020,3,gujarat
gandhinagar district,529771,9721563,2020,3,gujarat
panch mahals district,165251,2379253,2020,3,gujarat
narmada district,44654,787689,2020,3,gujarat
gir somnath district,139141,1786233,2020,3,gujarat
valsad district,410740,6542204,2020,3,gujarat
mahisagar district,73191,1039369,2020,3,gujarat
sabar kantha district,218309,4022650,2020,3,gujarat
tapi district,84921,1370436,2020,3,gujarat
vadodara district,901492,13501217,2020,3,gujarat
banas kantha district,501471,9413818,2020,3,gujarat
amreli district,161288,2326604,2020,3,gujarat
ahmadabad district,2580178,43984650,2020,3,gujarat
dohad district,118431,1832118,2020,3,gujarat
navsari district,183779,2416323,2020,3,gujarat
patan district,206708,3658324,2020,3,gujarat
kachchh district,423729,6675502,2020,3,gujarat
surendranagar district,197594,2754011,2020,3,gujarat
morbi district,168984,2144856,2020,3,gujarat
anand district,367561,5362999,2020,4,gujarat
jamnagar district,248187,2953949,2020,4,gujarat
devbhumi dwarka district,84750,1018943,2020,4,gujarat
rajkot district,627654,6696956,2020,4,gujarat
aravallis district,135616,2560222,2020,4,gujarat
chhotaudepur district,56282,902789,2020,4,gujarat
botad district,117629,1521917,2020,4,gujarat
bharuch district,508005,10786740,2020,4,gujarat
bhavnagar district,419697,5661522,2020,4,gujarat
junagadh district,178595,1940195,2020,4,gujarat
mahesana district,464932,8801141,2020,4,gujarat
the dangs district,16317,322911,2020,4,gujarat
kheda district,282429,4361153,2020,4,gujarat
surat district,2278232,34575532,2020,4,gujarat
porbandar district,62166,676620,2020,4,gujarat
gandhinagar district,572461,11718890,2020,4,gujarat
panch mahals district,182696,2927538,2020,4,gujarat
narmada district,50130,992643,2020,4,gujarat
gir somnath district,152104,1987260,2020,4,gujarat
valsad district,452628,8644503,2020,4,gujarat
mahisagar district,81588,1232668,2020,4,gujarat
sabar kantha district,240357,4888877,2020,4,gujarat
tapi district,94476,1765259,2020,4,gujarat
vadodara district,980658,17540053,2020,4,gujarat
banas kantha district,551645,10634353,2020,4,gujarat
amreli district,176011,2282316,2020,4,gujarat
ahmadabad district,2787991,54175819,2020,4,gujarat
dohad district,132954,2063724,2020,4,gujarat
navsari district,201412,3007453,2020,4,gujarat
patan district,227441,4369785,2020,4,gujarat
kachchh district,466855,8257809,2020,4,gujarat
surendranagar district,216954,3173754,2020,4,gujarat
morbi district,188790,2691060,2020,4,gujarat
anand district,395164,5855859,2021,1,gujarat
jamnagar district,267315,3413685,2021,1,gujarat
devbhumi dwarka district,91653,1125352,2021,1,gujarat
rajkot district,677301,7803138,2021,1,gujarat
aravallis district,146811,2774336,2021,1,gujarat
chhotaudepur district,61097,970270,2021,1,gujarat
botad district,126302,1642524,2021,1,gujarat
bharuch district,548541,12399575,2021,1,gujarat
bhavnagar district,450462,5750612,2021,1,gujarat
junagadh district,192500,2001820,2021,1,gujarat
mahesana district,500511,9595361,2021,1,gujarat
the dangs district,17658,350858,2021,1,gujarat
kheda district,304909,4828751,2021,1,gujarat
surat district,2458596,41476549,2021,1,gujarat
porbandar district,67063,725183,2021,1,gujarat
gandhinagar district,615315,13654781,2021,1,gujarat
panch mahals district,197602,3236700,2021,1,gujarat
narmada district,54427,1070694,2021,1,gujarat
gir somnath district,163763,2007742,2021,1,gujarat
valsad district,489062,10057529,2021,1,gujarat
mahisagar district,88343,1262035,2021,1,gujarat
sabar kantha district,259578,5343748,2021,1,gujarat
tapi district,102144,1963282,2021,1,gujarat
vadodara district,1053954,20042908,2021,1,gujarat
banas kantha district,598384,12443664,2021,1,gujarat
amreli district,189252,2198433,2021,1,gujarat
ahmadabad district,2999575,63813424,2021,1,gujarat
dohad district,144445,2338472,2021,1,gujarat
navsari district,216841,3189672,2021,1,gujarat
patan district,246083,4877445,2021,1,gujarat
kachchh district,505517,9800171,2021,1,gujarat
surendranagar district,234429,3456434,2021,1,gujarat
morbi district,205529,3261867,2021,1,gujarat
anand district,422965,5154924,2021,2,gujarat
jamnagar district,287113,5057707,2021,2,gujarat
devbhumi dwarka district,98957,3134118,2021,2,gujarat
rajkot district,726817,9593985,2021,2,gujarat
aravallis district,158083,5332899,2021,2,gujarat
chhotaudepur district,66155,3188155,2021,2,gujarat
botad district,135845,3457428,2021,2,gujarat
bharuch district,588777,12729351,2021,2,gujarat
bhavnagar district,483224,7322593,2021,2,gujarat
junagadh district,207118,4070018,2021,2,gujarat
mahesana district,536645,9759520,2021,2,gujarat
the dangs district,19033,1976849,2021,2,gujarat
kheda district,327251,5529938,2021,2,gujarat
surat district,2633443,29247704,2021,2,gujarat
porbandar district,72172,1437404,2021,2,gujarat
gandhinagar district,658428,9936713,2021,2,gujarat
panch mahals district,212616,4678402,2021,2,gujarat
narmada district,58790,3238851,2021,2,gujarat
gir somnath district,176061,3419888,2021,2,gujarat
valsad district,524614,9184319,2021,2,gujarat
mahisagar district,95143,3203297,2021,2,gujarat
sabar kantha district,278539,7088156,2021,2,gujarat
tapi district,109719,4093925,2021,2,gujarat
vadodara district,1127636,15605412,2021,2,gujarat
banas kantha district,645073,18355543,2021,2,gujarat
amreli district,204136,5600950,2021,2,gujarat
ahmadabad district,3209841,43943326,2021,2,gujarat
dohad district,155988,5021344,2021,2,gujarat
navsari district,232448,4010253,2021,2,gujarat
patan district,265040,6916848,2021,2,gujarat
kachchh district,543585,17784778,2021,2,gujarat
surendranagar district,253097,8057144,2021,2,gujarat
morbi district,221629,5300801,2021,2,gujarat
anand district,454516,6900160,2021,3,gujarat
jamnagar district,309842,6879580,2021,3,gujarat
devbhumi dwarka district,107517,4310397,2021,3,gujarat
rajkot district,782611,13876245,2021,3,gujarat
aravallis district,171101,6762291,2021,3,gujarat
chhotaudepur district,72071,3853239,2021,3,gujarat
botad district,146842,4926482,2021,3,gujarat
bharuch district,634589,16949930,2021,3,gujarat
bhavnagar district,520764,9381379,2021,3,gujarat
junagadh district,223916,5211050,2021,3,gujarat
mahesana district,578072,12920050,2021,3,gujarat
the dangs district,20709,2684008,2021,3,gujarat
kheda district,352948,7212127,2021,3,gujarat
surat district,2830392,40635199,2021,3,gujarat
porbandar district,78063,1911079,2021,3,gujarat
gandhinagar district,706654,13323374,2021,3,gujarat
panch mahals district,229915,6133463,2021,3,gujarat
narmada district,63821,4425170,2021,3,gujarat
gir somnath district,190336,4151926,2021,3,gujarat
valsad district,565423,11974387,2021,3,gujarat
mahisagar district,103140,3964068,2021,3,gujarat
sabar kantha district,300258,9248561,2021,3,gujarat
tapi district,118730,5066590,2021,3,gujarat
vadodara district,1210266,20471153,2021,3,gujarat
banas kantha district,698841,25209534,2021,3,gujarat
amreli district,221334,7968878,2021,3,gujarat
ahmadabad district,3445024,59071276,2021,3,gujarat
dohad district,169037,6295402,2021,3,gujarat
navsari district,250233,5157919,2021,3,gujarat
patan district,287021,9346449,2021,3,gujarat
kachchh district,587589,25294185,2021,3,gujarat
surendranagar district,274891,10995970,2021,3,gujarat
morbi district,240295,7475630,2021,3,gujarat
anand district,485306,9981987,2021,4,gujarat
jamnagar district,331942,6896774,2021,4,gujarat
devbhumi dwarka district,115900,2359435,2021,4,gujarat
rajkot district,837869,15665197,2021,4,gujarat
aravallis district,183617,5917538,2021,4,gujarat
chhotaudepur district,77777,1850678,2021,4,gujarat
botad district,157462,4378199,2021,4,gujarat
bharuch district,679705,23721158,2021,4,gujarat
bhavnagar district,558013,10583117,2021,4,gujarat
junagadh district,240022,3983195,2021,4,gujarat
mahesana district,618376,18408357,2021,4,gujarat
the dangs district,22325,682005,2021,4,gujarat
kheda district,377827,8810443,2021,4,gujarat
surat district,3026960,70043416,2021,4,gujarat
porbandar district,83713,1326247,2021,4,gujarat
gandhinagar district,754369,23172671,2021,4,gujarat
panch mahals district,246694,6699089,2021,4,gujarat
narmada district,68577,2219237,2021,4,gujarat
gir somnath district,204170,4304710,2021,4,gujarat
valsad district,605655,20362236,2021,4,gujarat
mahisagar district,110939,2564905,2021,4,gujarat
sabar kantha district,321717,10478837,2021,4,gujarat
tapi district,127186,3764085,2021,4,gujarat
vadodara district,1292097,33004408,2021,4,gujarat
banas kantha district,751116,29341685,2021,4,gujarat
amreli district,237874,5251219,2021,4,gujarat
ahmadabad district,3679243,106054208,2021,4,gujarat
dohad district,181787,5398314,2021,4,gujarat
navsari district,267352,5803020,2021,4,gujarat
patan district,308499,9755228,2021,4,gujarat
kachchh district,630878,20539880,2021,4,gujarat
surendranagar district,295801,7294918,2021,4,gujarat
morbi district,258433,7229813,2021,4,gujarat
yamunanagar district,46198,0,2018,1,haryana
sonipat district,79638,0,2018,1,haryana
jind district,51815,0,2018,1,haryana
rohtak district,62452,0,2018,1,haryana
faridabad district,231504,0,2018,1,haryana
mahendragarh district,45460,0,2018,1,haryana
hisar district,113872,0,2018,1,haryana
karnal district,73612,0,2018,1,haryana
fatehabad district,48955,0,2018,1,haryana
palwal district,48774,0,2018,1,haryana
charkhi dadri district,14712,0,2018,1,haryana
ambala district,54127,0,2018,1,haryana
rewari district,85350,0,2018,1,haryana
panchkula district,41867,0,2018,1,haryana
bhiwani district,57585,0,2018,1,haryana
sirsa district,70800,0,2018,1,haryana
mewat district,29541,0,2018,1,haryana
panipat district,74739,0,2018,1,haryana
gurugram district,474081,0,2018,1,haryana
kaithal district,41222,0,2018,1,haryana
kurukshetra district,47932,0,2018,1,haryana
jhajjar district,53121,0,2018,1,haryana
yamunanagar district,62261,0,2018,2,haryana
sonipat district,106837,0,2018,2,haryana
jind district,68635,0,2018,2,haryana
rohtak district,82822,0,2018,2,haryana
faridabad district,306358,0,2018,2,haryana
mahendragarh district,60336,0,2018,2,haryana
hisar district,147599,0,2018,2,haryana
karnal district,98276,0,2018,2,haryana
fatehabad district,63066,0,2018,2,haryana
palwal district,64886,0,2018,2,haryana
charkhi dadri district,19559,0,2018,2,haryana
ambala district,73358,0,2018,2,haryana
rewari district,113056,0,2018,2,haryana
panchkula district,56729,0,2018,2,haryana
bhiwani district,75485,0,2018,2,haryana
sirsa district,91908,0,2018,2,haryana
mewat district,41358,0,2018,2,haryana
panipat district,101243,0,2018,2,haryana
gurugram district,621718,0,2018,2,haryana
kaithal district,55832,0,2018,2,haryana
kurukshetra district,64186,0,2018,2,haryana
jhajjar district,71713,0,2018,2,haryana
yamunanagar district,77303,0,2018,3,haryana
sonipat district,132705,0,2018,3,haryana
jind district,84500,0,2018,3,haryana
rohtak district,101649,0,2018,3,haryana
faridabad district,383316,0,2018,3,haryana
mahendragarh district,74545,0,2018,3,haryana
hisar district,176380,0,2018,3,haryana
karnal district,121471,0,2018,3,haryana
fatehabad district,75108,0,2018,3,haryana
palwal district,81688,0,2018,3,haryana
charkhi dadri district,24373,0,2018,3,haryana
ambala district,92472,0,2018,3,haryana
rewari district,138368,0,2018,3,haryana
panchkula district,71245,0,2018,3,haryana
bhiwani district,92291,0,2018,3,haryana
sirsa district,109165,0,2018,3,haryana
mewat district,53421,0,2018,3,haryana
panipat district,124290,0,2018,3,haryana
gurugram district,767369,0,2018,3,haryana
kaithal district,68422,0,2018,3,haryana
kurukshetra district,80097,0,2018,3,haryana
jhajjar district,90220,0,2018,3,haryana
yamunanagar district,94449,0,2018,4,haryana
sonipat district,165599,0,2018,4,haryana
jind district,103156,0,2018,4,haryana
rohtak district,124365,0,2018,4,haryana
faridabad district,521996,0,2018,4,haryana
mahendragarh district,91223,0,2018,4,haryana
hisar district,210671,0,2018,4,haryana
karnal district,149062,0,2018,4,haryana
fatehabad district,88259,0,2018,4,haryana
palwal district,113042,0,2018,4,haryana
charkhi dadri district,29865,0,2018,4,haryana
ambala district,114192,0,2018,4,haryana
rewari district,172035,0,2018,4,haryana
panchkula district,88703,0,2018,4,haryana
bhiwani district,111607,0,2018,4,haryana
sirsa district,127874,0,2018,4,haryana
mewat district,71400,0,2018,4,haryana
panipat district,153137,0,2018,4,haryana
gurugram district,967781,0,2018,4,haryana
kaithal district,82556,0,2018,4,haryana
kurukshetra district,97619,0,2018,4,haryana
jhajjar district,114488,0,2018,4,haryana
yamunanagar district,111935,0,2019,1,haryana
sonipat district,199593,0,2019,1,haryana
jind district,121923,0,2019,1,haryana
rohtak district,147392,0,2019,1,haryana
faridabad district,634024,0,2019,1,haryana
mahendragarh district,109746,0,2019,1,haryana
hisar district,245236,0,2019,1,haryana
karnal district,177042,0,2019,1,haryana
fatehabad district,101001,0,2019,1,haryana
palwal district,141953,0,2019,1,haryana
charkhi dadri district,35788,0,2019,1,haryana
ambala district,136012,0,2019,1,haryana
rewari district,207051,0,2019,1,haryana
panchkula district,105044,0,2019,1,haryana
bhiwani district,132014,0,2019,1,haryana
sirsa district,146936,0,2019,1,haryana
mewat district,92292,0,2019,1,haryana
panipat district,181548,0,2019,1,haryana
gurugram district,1159832,0,2019,1,haryana
kaithal district,97311,0,2019,1,haryana
kurukshetra district,115295,0,2019,1,haryana
jhajjar district,139799,0,2019,1,haryana
yamunanagar district,128212,541843,2019,2,haryana
sonipat district,230883,1176456,2019,2,haryana
jind district,138962,624097,2019,2,haryana
rohtak district,169372,827978,2019,2,haryana
faridabad district,716593,4975626,2019,2,haryana
mahendragarh district,127605,682663,2019,2,haryana
hisar district,277720,1298714,2019,2,haryana
karnal district,204255,977665,2019,2,haryana
fatehabad district,112543,417161,2019,2,haryana
palwal district,165665,1271969,2019,2,haryana
charkhi dadri district,42051,203007,2019,2,haryana
ambala district,157049,747656,2019,2,haryana
rewari district,238349,1505304,2019,2,haryana
panchkula district,120567,577037,2019,2,haryana
bhiwani district,151200,716927,2019,2,haryana
sirsa district,163468,625593,2019,2,haryana
mewat district,111194,822428,2019,2,haryana
panipat district,208172,984634,2019,2,haryana
gurugram district,1307319,10860136,2019,2,haryana
kaithal district,110900,506145,2019,2,haryana
kurukshetra district,132749,672331,2019,2,haryana
jhajjar district,163202,913825,2019,2,haryana
yamunanagar district,143922,1889582,2019,3,haryana
sonipat district,261554,4157560,2019,3,haryana
jind district,154136,2080553,2019,3,haryana
rohtak district,190137,2969017,2019,3,haryana
faridabad district,792884,18337601,2019,3,haryana
mahendragarh district,144934,2455148,2019,3,haryana
hisar district,308179,4755964,2019,3,haryana
karnal district,230603,3506469,2019,3,haryana
fatehabad district,124153,1474393,2019,3,haryana
palwal district,188217,4785385,2019,3,haryana
charkhi dadri district,47499,677064,2019,3,haryana
ambala district,176487,2649300,2019,3,haryana
rewari district,266893,5491022,2019,3,haryana
panchkula district,134405,2132209,2019,3,haryana
bhiwani district,168827,2457872,2019,3,haryana
sirsa district,179271,2162548,2019,3,haryana
mewat district,129646,3067264,2019,3,haryana
panipat district,235346,3503361,2019,3,haryana
gurugram district,1447473,42024810,2019,3,haryana
kaithal district,123358,1747400,2019,3,haryana
kurukshetra district,150733,2685834,2019,3,haryana
jhajjar district,185095,3322231,2019,3,haryana
yamunanagar district,159678,2169534,2019,4,haryana
sonipat district,291479,4952233,2019,4,haryana
jind district,170946,2493137,2019,4,haryana
rohtak district,209750,3382162,2019,4,haryana
faridabad district,862595,19751979,2019,4,haryana
mahendragarh district,162341,3111883,2019,4,haryana
hisar district,339753,5504854,2019,4,haryana
karnal district,255280,4087110,2019,4,haryana
fatehabad district,137065,1761322,2019,4,haryana
palwal district,209434,5450339,2019,4,haryana
charkhi dadri district,52964,800762,2019,4,haryana
ambala district,194413,3060152,2019,4,haryana
rewari district,294161,6508677,2019,4,haryana
panchkula district,147023,2349281,2019,4,haryana
bhiwani district,187294,2966045,2019,4,haryana
sirsa district,196540,2561179,2019,4,haryana
mewat district,149894,3948045,2019,4,haryana
panipat district,262435,4153408,2019,4,haryana
gurugram district,1574240,48600028,2019,4,haryana
kaithal district,136563,2021458,2019,4,haryana
kurukshetra district,166454,3068604,2019,4,haryana
jhajjar district,206377,4019696,2019,4,haryana
yamunanagar district,178961,2625978,2020,1,haryana
sonipat district,325111,5887001,2020,1,haryana
jind district,190347,3049401,2020,1,haryana
rohtak district,231317,3889336,2020,1,haryana
faridabad district,935992,22162012,2020,1,haryana
mahendragarh district,181158,3850212,2020,1,haryana
hisar district,382469,6580784,2020,1,haryana
karnal district,283270,4897515,2020,1,haryana
