type,count,amount,name,from,to,year,quarter,state
TOTAL,59391,56867468.940003954,Merchant payments,1601490600000,1609093800000,2020,4,andaman-&-nicobar-islands
TOTAL,965,1880546.9672370641,Financial Services,1601490600000,1609093800000,2020,4,andaman-&-nicobar-islands
TOTAL,1925,1508083.6917299272,Others,1601490600000,1609093800000,2020,4,andaman-&-nicobar-islands
TOTAL,105458,665391395.715478,Peer-to-peer payments,1609439400000,1616869800000,2021,1,andaman-&-nicobar-islands
TOTAL,84119,37160922.86506996,Recharge & bill payments,1609439400000,1616869800000,2021,1,andaman-&-nicobar-islands
TOTAL,53090,78606979.05751458,Merchant payments,1609439400000,1616869800000,2021,1,andaman-&-nicobar-islands
TOTAL,884,1469351.0852598653,Financial Services,1609439400000,1616869800000,2021,1,andaman-&-nicobar-islands
TOTAL,1201,1077918.666433228,Others,1609439400000,1616869800000,2021,1,andaman-&-nicobar-islands
TOTAL,132772,748382044.7707307,Peer-to-peer payments,1617215400000,1624818600000,2021,2,andaman-&-nicobar-islands
TOTAL,120911,43691961.26275121,Recharge & bill payments,1617215400000,1624818600000,2021,2,andaman-&-nicobar-islands
TOTAL,85143,103707408.50908463,Merchant payments,1617215400000,1624818600000,2021,2,andaman-&-nicobar-islands
TOTAL,960,2038521.5136710338,Financial Services,1617215400000,1624818600000,2021,2,andaman-&-nicobar-islands
TOTAL,1628,1327080.0560584562,Others,1617215400000,1624818600000,2021,2,andaman-&-nicobar-islands
TOTAL,192321,1077787837.1562996,Peer-to-peer payments,1625077800000,1632767400000,2021,3,andaman-&-nicobar-islands
TOTAL,136010,51243450.85925055,Recharge & bill payments,1625077800000,1632767400000,2021,3,andaman-&-nicobar-islands
TOTAL,118340,176991328.21761328,Merchant payments,1625077800000,1632767400000,2021,3,andaman-&-nicobar-islands
TOTAL,990,2351013.441729573,Financial Services,1625077800000,1632767400000,2021,3,andaman-&-nicobar-islands
TOTAL,2103,1650766.1267105162,Others,1625077800000,1632767400000,2021,3,andaman-&-nicobar-islands
TOTAL,285778,1544932663.2744582,Peer-to-peer payments,1633026600000,1640629800000,2021,4,andaman-&-nicobar-islands
TOTAL,210164,322842314.62433755,Merchant payments,1633026600000,1640629800000,2021,4,andaman-&-nicobar-islands
TOTAL,135608,59243518.11464358,Recharge & bill payments,1633026600000,1640629800000,2021,4,andaman-&-nicobar-islands
TOTAL,1718,3137965.167474068,Financial Services,1633026600000,1640629800000,2021,4,andaman-&-nicobar-islands
TOTAL,2855,2453640.142743944,Others,1633026600000,1640629800000,2021,4,andaman-&-nicobar-islands
TOTAL,5027448,892293975.6698562,Recharge & bill payments,1514745000000,1522175400000,2018,1,andhra-pradesh
TOTAL,3049646,10524250283.178782,Peer-to-peer payments,1514745000000,1522175400000,2018,1,andhra-pradesh
TOTAL,362672,247297640.24000686,Merchant payments,1514745000000,1522175400000,2018,1,andhra-pradesh
TOTAL,204305,44808449.7639544,Financial Services,1514745000000,1522175400000,2018,1,andhra-pradesh
TOTAL,395514,287626042.970705,Others,1514745000000,1522175400000,2018,1,andhra-pradesh
TOTAL,6456387,1598591488.4880352,Recharge & bill payments,1522521000000,1530124200000,2018,2,andhra-pradesh
TOTAL,4745000,20451493098.8953,Peer-to-peer payments,1522521000000,1530124200000,2018,2,andhra-pradesh
TOTAL,604847,436785223.86032957,Merchant payments,1522521000000,1530124200000,2018,2,andhra-pradesh
TOTAL,225621,68952114.81374599,Financial Services,1522521000000,1530124200000,2018,2,andhra-pradesh
TOTAL,322063,328092346.575651,Others,1522521000000,1530124200000,2018,2,andhra-pradesh
TOTAL,16129591,32738630444.668724,Peer-to-peer payments,1530383400000,1538073000000,2018,3,andhra-pradesh
TOTAL,7542005,1949098146.8941927,Recharge & bill payments,1530383400000,1538073000000,2018,3,andhra-pradesh
TOTAL,1225416,685277254.5076212,Merchant payments,1530383400000,1538073000000,2018,3,andhra-pradesh
TOTAL,380324,60790077.57437308,Financial Services,1530383400000,1538073000000,2018,3,andhra-pradesh
TOTAL,348725,284248675.5700202,Others,1530383400000,1538073000000,2018,3,andhra-pradesh
TOTAL,17580086,47011639726.13608,Peer-to-peer payments,1538332200000,1545935400000,2018,4,andhra-pradesh
TOTAL,9767083,2418164314.470957,Recharge & bill payments,1538332200000,1545935400000,2018,4,andhra-pradesh
TOTAL,2622131,1671585888.568256,Merchant payments,1538332200000,1545935400000,2018,4,andhra-pradesh
TOTAL,400837,57178116.40322068,Financial Services,1538332200000,1545935400000,2018,4,andhra-pradesh
TOTAL,389411,315211361.26249415,Others,1538332200000,1545935400000,2018,4,andhra-pradesh
TOTAL,37420988,77524329742.2595,Peer-to-peer payments,1546281000000,1553711400000,2019,1,andhra-pradesh
TOTAL,14022264,3480641602.3771377,Recharge & bill payments,1546281000000,1553711400000,2019,1,andhra-pradesh
TOTAL,5043682,2423536770.3706346,Merchant payments,1546281000000,1553711400000,2019,1,andhra-pradesh
TOTAL,416325,47150177.52982048,Financial Services,1546281000000,1553711400000,2019,1,andhra-pradesh
TOTAL,361263,284937624.5393019,Others,1546281000000,1553711400000,2019,1,andhra-pradesh
TOTAL,32494402,103924649232.47021,Peer-to-peer payments,1554057000000,1561660200000,2019,2,andhra-pradesh
TOTAL,14093964,4708345387.9101095,Recharge & bill payments,1554057000000,1561660200000,2019,2,andhra-pradesh
TOTAL,9226537,4613405202.681959,Merchant payments,1554057000000,1561660200000,2019,2,andhra-pradesh
TOTAL,145310,26626696.771042537,Financial Services,1554057000000,1561660200000,2019,2,andhra-pradesh
TOTAL,448802,361492238.3966455,Others,1554057000000,1561660200000,2019,2,andhra-pradesh
TOTAL,39023491,124338645329.51532,Peer-to-peer payments,1561919400000,1569609000000,2019,3,andhra-pradesh
TOTAL,20147629,6893984676.598906,Recharge & bill payments,1561919400000,1569609000000,2019,3,andhra-pradesh
TOTAL,16581787,7887394038.066369,Merchant payments,1561919400000,1569609000000,2019,3,andhra-pradesh
TOTAL,122270,29778183.027080443,Financial Services,1561919400000,1569609000000,2019,3,andhra-pradesh
TOTAL,413437,298142027.58625776,Others,1561919400000,1569609000000,2019,3,andhra-pradesh
TOTAL,57181511,178893550050.68753,Peer-to-peer payments,1569868200000,1577471400000,2019,4,andhra-pradesh
TOTAL,25122370,13476303367.50486,Merchant payments,1569868200000,1577471400000,2019,4,andhra-pradesh
TOTAL,24469888,8335168605.691999,Recharge & bill payments,1569868200000,1577471400000,2019,4,andhra-pradesh
TOTAL,105662,26796571.745749153,Financial Services,1569868200000,1577471400000,2019,4,andhra-pradesh
TOTAL,338672,216496893.16102877,Others,1569868200000,1577471400000,2019,4,andhra-pradesh
TOTAL,65452143,223088554055.04755,Peer-to-peer payments,1577817000000,1585333800000,2020,1,andhra-pradesh
TOTAL,31408022,18603161784.496994,Merchant payments,1577817000000,1585333800000,2020,1,andhra-pradesh
TOTAL,30449644,10813530777.973532,Recharge & bill payments,1577817000000,1585333800000,2020,1,andhra-pradesh
TOTAL,75238,43739133.169823855,Financial Services,1577817000000,1585333800000,2020,1,andhra-pradesh
TOTAL,292310,188228538.37489766,Others,1577817000000,1585333800000,2020,1,andhra-pradesh
TOTAL,73609921,262731724130.7907,Peer-to-peer payments,1585679400000,1593282600000,2020,2,andhra-pradesh
TOTAL,41013987,16991006436.573467,Recharge & bill payments,1585679400000,1593282600000,2020,2,andhra-pradesh
TOTAL,29976765,22625596525.44269,Merchant payments,1585679400000,1593282600000,2020,2,andhra-pradesh
TOTAL,140941,145274999.15679634,Financial Services,1585679400000,1593282600000,2020,2,andhra-pradesh
TOTAL,176241,90087654.60009979,Others,1585679400000,1593282600000,2020,2,andhra-pradesh
TOTAL,106791894,406461788252.32056,Peer-to-peer payments,1593541800000,1601231400000,2020,3,andhra-pradesh
TOTAL,54055557,40739580213.86052,Merchant payments,1593541800000,1601231400000,2020,3,andhra-pradesh
TOTAL,43500067,19475104674.827175,Recharge & bill payments,1593541800000,1601231400000,2020,3,andhra-pradesh
TOTAL,243088,256074924.7187529,Financial Services,1593541800000,1601231400000,2020,3,andhra-pradesh
TOTAL,312329,151582519.18136686,Others,1593541800000,1601231400000,2020,3,andhra-pradesh
TOTAL,152003791,566639138543.7708,Peer-to-peer payments,1601490600000,1609093800000,2020,4,andhra-pradesh
TOTAL,86581460,66654048149.95168,Merchant payments,1601490600000,1609093800000,2020,4,andhra-pradesh
TOTAL,46810304,20936337211.557747,Recharge & bill payments,1601490600000,1609093800000,2020,4,andhra-pradesh
