type,count,amount,name,year,quarter,state
TOTAL,970132,1163546006.895916,vizianagaram district,2018,3,andhra-pradesh
TOTAL,3394576,4821892253.393524,visakhapatnam district,2018,3,andhra-pradesh
TOTAL,1319651,2346453445.483843,prakasam district,2018,3,andhra-pradesh
TOTAL,1815215,2681787750.464165,anantapur district,2018,3,andhra-pradesh
TOTAL,1557444,2235904512.2542048,ysr district,2018,3,andhra-pradesh
TOTAL,1431282,2309078492.8058147,west godavari district,2018,3,andhra-pradesh
TOTAL,2921189,2908389261.539773,kurnool district,2018,3,andhra-pradesh
TOTAL,2297429,3283517630.720593,chittoor district,2018,3,andhra-pradesh
TOTAL,1912529,3127764663.180438,guntur district,2018,3,andhra-pradesh
TOTAL,2396934,3754202654.3844614,krishna district,2018,3,andhra-pradesh
TOTAL,3052762,4652624623.436675,east godavari district,2018,4,andhra-pradesh
TOTAL,1252807,1870278609.504549,srikakulam district,2018,4,andhra-pradesh
TOTAL,1814997,3293448556.9734454,spsr nellore district,2018,4,andhra-pradesh
TOTAL,1386787,1817673252.5417767,vizianagaram district,2018,4,andhra-pradesh
TOTAL,4791421,7366635864.849373,visakhapatnam district,2018,4,andhra-pradesh
TOTAL,1692862,3255254226.03728,prakasam district,2018,4,andhra-pradesh
TOTAL,2286391,3975878156.329829,anantapur district,2018,4,andhra-pradesh
TOTAL,1732527,3252340063.2478595,ysr district,2018,4,andhra-pradesh
TOTAL,1688482,3237504255.4632454,west godavari district,2018,4,andhra-pradesh
TOTAL,2508530,3626544852.4069242,kurnool district,2018,4,andhra-pradesh
TOTAL,3166201,4979093890.223491,chittoor district,2018,4,andhra-pradesh
TOTAL,2546620,4730251217.696959,guntur district,2018,4,andhra-pradesh
TOTAL,2839161,5416251838.130407,krishna district,2018,4,andhra-pradesh
TOTAL,5440146,7382264724.59952,east godavari district,2019,1,andhra-pradesh
TOTAL,2526855,3407912878.4152584,srikakulam district,2019,1,andhra-pradesh
TOTAL,3333584,5161932216.216368,spsr nellore district,2019,1,andhra-pradesh
TOTAL,2798241,3364576948.299301,vizianagaram district,2019,1,andhra-pradesh
TOTAL,9690866,13459857440.552685,visakhapatnam district,2019,1,andhra-pradesh
TOTAL,2931081,4807527779.215151,prakasam district,2019,1,andhra-pradesh
TOTAL,3891336,6044730653.191345,anantapur district,2019,1,andhra-pradesh
TOTAL,2852197,4915811593.896078,ysr district,2019,1,andhra-pradesh
TOTAL,2829437,4623764455.47309,west godavari district,2019,1,andhra-pradesh
TOTAL,4193432,5541564892.509682,kurnool district,2019,1,andhra-pradesh
TOTAL,6486813,8223371732.233585,chittoor district,2019,1,andhra-pradesh
TOTAL,4846553,7765934169.404485,guntur district,2019,1,andhra-pradesh
TOTAL,5443981,9061346433.072681,krishna district,2019,1,andhra-pradesh
TOTAL,4699261,9116404622.47651,east godavari district,2019,2,andhra-pradesh
TOTAL,2019203,4066576539.936839,srikakulam district,2019,2,andhra-pradesh
