entityName,metric.type,metric.count,metric.amount,year,quarter,state
north and middle andaman,TOTAL,4049,11481466.283356791,2019,3,andaman-&-nicobar-islands
nicobars,TOTAL,2300,11566421.475451011,2019,3,andaman-&-nicobar-islands
744103,TOTAL,5680,19906337.014255583,2019,3,andaman-&-nicobar-islands
744101,TOTAL,5606,18745152.093515635,2019,3,andaman-&-nicobar-islands
744104,TOTAL,4786,15754793.354826454,2019,3,andaman-&-nicobar-islands
744102,TOTAL,3643,14572605.602745283,2019,3,andaman-&-nicobar-islands
744105,TOTAL,3512,11767223.99688773,2019,3,andaman-&-nicobar-islands
744202,TOTAL,1417,3875602.0982028744,2019,3,andaman-&-nicobar-islands
744301,TOTAL,1402,6195496.621729916,2019,3,andaman-&-nicobar-islands
744211,TOTAL,1118,2983697.449378184,2019,3,andaman-&-nicobar-islands
744107,TOTAL,914,1988299.759710987,2019,3,andaman-&-nicobar-islands
744112,TOTAL,833,2198831.6919406196,2019,3,andaman-&-nicobar-islands
south andaman,TOTAL,27843,110930312.20611623,2019,4,andaman-&-nicobar-islands
north and middle andaman,TOTAL,4716,13524056.784573946,2019,4,andaman-&-nicobar-islands
nicobars,TOTAL,2600,12384161.52668771,2019,4,andaman-&-nicobar-islands
744104,TOTAL,6633,20626642.701508522,2019,4,andaman-&-nicobar-islands
744101,TOTAL,5282,23247752.473849062,2019,4,andaman-&-nicobar-islands
744103,TOTAL,4840,19792507.955761045,2019,4,andaman-&-nicobar-islands
744105,TOTAL,3528,15302141.17488026,2019,4,andaman-&-nicobar-islands
744102,TOTAL,3237,15350444.97320769,2019,4,andaman-&-nicobar-islands
744202,TOTAL,1783,5800016.5561128855,2019,4,andaman-&-nicobar-islands
744211,TOTAL,1596,7908264.721918669,2019,4,andaman-&-nicobar-islands
744301,TOTAL,1549,7056478.928838715,2019,4,andaman-&-nicobar-islands
744201,TOTAL,886,946768.0636478986,2019,4,andaman-&-nicobar-islands
744107,TOTAL,777,3030368.911900454,2019,4,andaman-&-nicobar-islands
south andaman,TOTAL,32713,134679396.90582758,2020,1,andaman-&-nicobar-islands
north and middle andaman,TOTAL,5674,14697371.617857102,2020,1,andaman-&-nicobar-islands
nicobars,TOTAL,2911,12099543.773590053,2020,1,andaman-&-nicobar-islands
744101,TOTAL,11793,58229349.02415232,2020,1,andaman-&-nicobar-islands
744103,TOTAL,5870,22009443.073053975,2020,1,andaman-&-nicobar-islands
744105,TOTAL,4635,16774043.311987936,2020,1,andaman-&-nicobar-islands
744102,TOTAL,3820,14517706.12269676,2020,1,andaman-&-nicobar-islands
744211,TOTAL,1837,8425387.79004211,2020,1,andaman-&-nicobar-islands
744301,TOTAL,1819,6901162.107519586,2020,1,andaman-&-nicobar-islands
744202,TOTAL,1794,5037742.395579022,2020,1,andaman-&-nicobar-islands
744104,TOTAL,1302,5293130.290633954,2020,1,andaman-&-nicobar-islands
744201,TOTAL,1157,1242638.821252932,2020,1,andaman-&-nicobar-islands
744107,TOTAL,1043,2990354.4448547475,2020,1,andaman-&-nicobar-islands
south andaman,TOTAL,48088,132855778.74838585,2020,2,andaman-&-nicobar-islands
